,state,county,candidate,party,votes,won,total_votes,percent,State
237,Hawaii,Hawaii County,Donald Trump,REP,26851,False,87716,0.3061129098454102,HI
238,Hawaii,Honolulu County,Donald Trump,REP,136259,False,382114,0.3565925352120048,HI
239,Hawaii,Kauai County,Donald Trump,REP,11579,False,33486,0.3457862987517171,HI
240,Hawaii,Maui County,Donald Trump,REP,22111,False,71025,0.3113129179866244,HI
241,Idaho,Ada County,Donald Trump,REP,130699,True,259389,0.5038725620593009,ID
242,Idaho,Adams County,Donald Trump,REP,1941,True,2586,0.7505800464037123,ID
243,Idaho,Bannock County,Donald Trump,REP,23331,True,39553,0.5898667610547872,ID
244,Idaho,Bear Lake County,Donald Trump,REP,2914,True,3315,0.8790346907993967,ID
245,Idaho,Benewah County,Donald Trump,REP,3878,True,4973,0.779810979288156,ID
246,Idaho,Bingham County,Donald Trump,REP,15295,True,20094,0.7611724893002887,ID
247,Idaho,Blaine County,Donald Trump,REP,4031,False,13288,0.3033564118001204,ID
248,Idaho,Boise County,Donald Trump,REP,3495,True,4840,0.7221074380165289,ID
249,Idaho,Bonner County,Donald Trump,REP,18369,True,27352,0.6715779467680608,ID
250,Idaho,Bonneville County,Donald Trump,REP,37805,True,53995,0.700157421983517,ID
251,Idaho,Boundary County,Donald Trump,REP,4937,True,6313,0.7820370663709805,ID
252,Idaho,Butte County,Donald Trump,REP,1202,True,1415,0.8494699646643109,ID
253,Idaho,Camas County,Donald Trump,REP,507,True,754,0.6724137931034483,ID
254,Idaho,Canyon County,Donald Trump,REP,61759,True,90438,0.6828877241867357,ID
255,Idaho,Caribou County,Donald Trump,REP,2906,True,3416,0.8507025761124122,ID
256,Idaho,Cassia County,Donald Trump,REP,7907,True,9629,0.8211652300342714,ID
257,Idaho,Clark County,Donald Trump,REP,264,True,311,0.8488745980707395,ID
258,Idaho,Clearwater County,Donald Trump,REP,3453,True,4419,0.781398506449423,ID
259,Idaho,Custer County,Donald Trump,REP,2089,True,2739,0.7626871120847024,ID
260,Idaho,Elmore County,Donald Trump,REP,7246,True,10205,0.7100440960313572,ID
261,Idaho,Franklin County,Donald Trump,REP,5845,True,6664,0.8771008403361344,ID
262,Idaho,Fremont County,Donald Trump,REP,5548,True,6719,0.8257181128144069,ID
263,Idaho,Gem County,Donald Trump,REP,7951,True,9958,0.7984535047198232,ID
264,Idaho,Gooding County,Donald Trump,REP,4659,True,6050,0.7700826446280992,ID
265,Idaho,Idaho County,Donald Trump,REP,7826,True,9602,0.8150385336388253,ID
266,Idaho,Jefferson County,Donald Trump,REP,12099,True,14173,0.8536654201651026,ID
267,Idaho,Jerome County,Donald Trump,REP,5734,True,7812,0.7339989759344598,ID
268,Idaho,Kootenai County,Donald Trump,REP,62837,True,89878,0.6991366074011438,ID
269,Idaho,Latah County,Donald Trump,REP,9472,False,20570,0.46047642197374816,ID
270,Idaho,Lemhi County,Donald Trump,REP,3592,True,4738,0.7581257914731955,ID
271,Idaho,Lewis County,Donald Trump,REP,1489,True,1870,0.7962566844919786,ID
272,Idaho,Lincoln County,Donald Trump,REP,1469,True,1940,0.7572164948453608,ID
273,Idaho,Madison County,Donald Trump,REP,13559,True,17112,0.7923679289387564,ID
274,Idaho,Minidoka County,Donald Trump,REP,6265,True,7993,0.7838108344801702,ID
275,Idaho,Nez Perce County,Donald Trump,REP,13738,True,20967,0.6552201077884294,ID
276,Idaho,Oneida County,Donald Trump,REP,2148,True,2451,0.8763769889840881,ID
277,Idaho,Owyhee County,Donald Trump,REP,3819,True,4742,0.8053563897089836,ID
278,Idaho,Payette County,Donald Trump,REP,8862,True,11293,0.7847339059594439,ID
279,Idaho,Power County,Donald Trump,REP,2116,True,3086,0.6856772521062865,ID
280,Idaho,Shoshone County,Donald Trump,REP,4216,True,6049,0.6969747065630683,ID
281,Idaho,Teton County,Donald Trump,REP,2858,False,6347,0.4502914762880101,ID
282,Idaho,Twin Falls County,Donald Trump,REP,25897,True,36680,0.7060250817884406,ID
283,Idaho,Valley County,Donald Trump,REP,3947,True,7063,0.5588276936146114,ID
284,Idaho,Washington County,Donald Trump,REP,4154,True,5344,0.7773203592814372,ID
285,Illinois,Adams County,Donald Trump,REP,24131,True,33434,0.7217503140515643,IL
286,Illinois,Alexander County,Donald Trump,REP,1486,True,2625,0.5660952380952381,IL
287,Illinois,Bond County,Donald Trump,REP,5612,True,8109,0.6920705389073869,IL
288,Illinois,Boone County,Donald Trump,REP,13762,True,24672,0.5577983138780804,IL
289,Illinois,Brown County,Donald Trump,REP,1930,True,2523,0.7649623464130004,IL
