,County Name,State,month0.0_x,month1.0_x,month2.0_x,month3.0_x,month4.0_x,month5.0_x,month6.0_x,month7.0_x,month8.0_x,month9.0_x,month0.0_y,month1.0_y,month2.0_y,month3.0_y,month4.0_y,month5.0_y,month6.0_y,month7.0_y,month8.0_y,month9.0_y,population
452,Fannin County,GA,0,0,8,31,48,101,270,446,681,833,0,0,0,1,1,1,2,8,24,27,26188
453,Fayette County,GA,0,0,61,183,238,377,949,1573,1877,2145,0,0,4,10,13,19,25,38,50,57,114421
454,Floyd County,GA,0,0,79,145,279,569,1243,2277,3219,4072,0,0,3,11,15,15,15,32,45,61,98498
455,Forsyth County,GA,0,0,61,330,532,881,1898,3091,4114,4823,0,0,1,10,12,15,19,33,46,54,244252
456,Franklin County,GA,0,0,3,21,104,201,354,554,758,955,0,0,0,1,1,1,4,11,13,18,23349
457,Fulton County,GA,0,2,910,2978,4659,7641,17858,24891,27684,31428,0,0,26,122,244,314,398,518,575,627,1063937
458,Gilmer County,GA,0,0,1,73,156,192,491,750,827,1049,0,0,0,0,1,2,3,7,12,22,31369
459,Glascock County,GA,0,0,0,0,1,9,22,33,39,50,0,0,0,0,0,0,0,2,2,2,2971
460,Glynn County,GA,0,0,23,58,133,1010,2281,3041,3486,3760,0,0,0,1,2,6,29,70,95,104,85292
461,Gordon County,GA,0,0,21,113,170,425,1001,1527,1870,2428,0,0,2,12,16,18,23,29,36,47,57963
462,Grady County,GA,0,0,3,63,115,219,400,667,785,867,0,0,0,3,4,4,5,12,22,25,24633
463,Greene County,GA,0,0,12,54,70,100,247,435,509,577,0,0,0,3,7,9,11,16,24,25,18324
464,Gwinnett County,GA,0,0,353,1974,3919,8758,17511,24252,27647,30894,0,0,7,58,134,173,240,336,409,449,936250
465,Habersham County,GA,0,0,2,342,530,708,1026,1341,1674,1900,0,0,0,8,23,36,48,62,67,76,45328
466,Hall County,GA,0,0,81,1698,2517,3330,5482,7714,9373,10785,0,0,0,23,50,60,79,125,154,178,204441
467,Hancock County,GA,0,0,0,61,196,218,281,359,394,414,0,0,0,2,25,32,34,39,42,44,8457
468,Haralson County,GA,0,0,10,29,49,81,191,332,487,661,0,0,0,1,3,5,6,7,8,11,29792
469,Harris County,GA,0,0,6,59,104,349,616,725,799,852,0,0,0,2,6,10,16,21,22,25,35236
470,Hart County,GA,0,0,3,11,33,67,263,412,521,587,0,0,0,0,0,0,2,10,13,17,26205
471,Heard County,GA,0,0,2,13,35,55,129,171,197,237,0,0,1,1,2,3,3,5,5,6,11923
472,Henry County,GA,0,0,143,520,696,1322,2954,4417,5281,6304,0,0,3,13,21,33,41,78,102,114,234561
473,Houston County,GA,0,0,58,242,377,714,1746,2629,3163,3668,0,0,5,14,18,24,49,67,82,95,157863
474,Irwin County,GA,0,0,6,16,31,67,153,221,305,359,0,0,0,1,1,1,1,4,4,8,9416
475,Jackson County,GA,0,0,13,108,199,394,936,1497,2024,2426,0,0,0,2,6,10,13,25,33,42,72977
476,Jasper County,GA,0,0,2,24,39,74,123,190,221,249,0,0,0,0,1,1,1,3,3,4,14219
477,Jeff Davis County,GA,0,0,0,20,38,119,366,641,724,804,0,0,0,1,1,3,6,11,20,23,15115
478,Jefferson County,GA,0,0,2,15,46,119,422,661,804,857,0,0,0,1,1,1,6,16,29,33,15362
479,Jenkins County,GA,0,0,2,16,21,118,230,314,429,472,0,0,0,1,1,12,22,25,30,32,8676
480,Johnson County,GA,0,0,1,59,77,98,221,336,415,439,0,0,0,2,2,2,10,13,22,23,9643
481,Jones County,GA,0,0,6,29,40,97,258,452,560,650,0,0,0,0,0,0,3,4,9,17,28735
482,Lamar County,GA,0,0,6,38,73,125,221,323,372,426,0,0,0,1,2,6,9,16,18,20,19077
483,Lanier County,GA,0,0,1,9,24,145,210,247,295,320,0,0,0,1,2,3,4,5,5,7,10423
484,Laurens County,GA,0,0,15,64,108,206,727,1342,1661,2019,0,0,0,1,1,1,4,47,75,88,47546
485,Lee County,GA,0,0,123,327,361,396,506,641,700,752,0,0,8,20,22,22,22,24,26,30,29992
486,Liberty County,GA,0,0,9,37,83,133,594,930,1125,1286,0,0,0,0,1,1,2,17,22,25,61435
487,Lincoln County,GA,0,0,5,12,16,41,125,196,213,237,0,0,0,0,0,1,4,7,7,7,7921
488,Long County,GA,0,0,1,5,16,51,114,183,252,278,0,0,0,0,1,1,1,3,3,4,19559
489,Lowndes County,GA,0,0,32,158,321,1272,2931,3492,3920,4503,0,0,1,4,4,12,32,66,82,87,117406
490,Lumpkin County,GA,0,0,7,63,100,143,301,701,926,1058,0,0,0,1,1,3,6,12,14,15,33610
491,McDuffie County,GA,0,0,5,45,69,109,286,517,605,690,0,0,1,4,5,7,9,13,14,15,21312
492,McIntosh County,GA,0,0,2,5,15,53,147,248,293,313,0,0,0,0,1,1,2,5,7,7,14378
493,Macon County,GA,0,0,2,80,103,119,174,204,234,252,0,0,0,3,6,9,10,10,10,10,12947
494,Madison County,GA,0,0,7,25,59,105,326,535,704,799,0,0,1,1,1,4,4,8,8,11,29880
495,Marion County,GA,0,0,1,37,59,84,142,170,192,201,0,0,0,1,2,2,4,6,8,9,8359
496,Meriwether County,GA,0,0,10,54,94,200,347,484,546,598,0,0,0,0,2,3,5,9,13,16,21167
497,Miller County,GA,0,0,9,30,42,50,129,212,266,316,0,0,0,0,0,0,0,0,1,2,5718
498,Mitchell County,GA,0,0,46,319,413,453,609,710,811,849,0,0,1,31,32,38,41,44,45,46,21863
499,Monroe County,GA,0,0,7,24,121,173,416,593,699,767,0,0,0,3,11,18,23,41,52,55,27578
500,Montgomery County,GA,0,0,0,2,11,32,128,217,311,370,0,0,0,0,0,0,0,3,5,9,9172
501,Morgan County,GA,0,0,2,28,38,54,216,415,485,536,0,0,0,0,0,0,0,2,3,6,19276
502,Murray County,GA,0,0,7,33,96,231,527,713,840,1071,0,0,0,1,1,2,2,3,6,9,40096
503,Muscogee County,GA,0,0,31,327,650,1860,4259,5466,6048,6398,0,0,0,7,18,52,82,134,170,175,195769
504,Newton County,GA,0,0,42,208,370,649,1566,2306,2610,2892,0,0,1,7,10,12,35,61,90,96,111744
505,Oconee County,GA,0,0,21,65,117,162,387,552,761,869,0,0,0,0,9,10,15,20,26,31,40280
506,Oglethorpe County,GA,0,0,1,50,63,91,184,281,335,427,0,0,1,3,7,7,7,9,11,13,15259
507,Paulding County,GA,0,0,46,195,336,648,1401,2269,2806,3204,0,0,0,8,11,16,19,34,54,61,168667
508,Peach County,GA,0,0,10,55,74,115,318,567,670,790,0,0,1,2,4,9,12,16,24,26,27546
509,Pickens County,GA,0,0,9,28,49,96,276,521,619,807,0,0,1,2,3,5,5,6,9,10,32591
510,Pierce County,GA,0,0,16,52,105,182,376,519,612,686,0,0,0,3,3,5,6,12,20,24,19465
511,Pike County,GA,0,0,4,40,55,94,187,277,333,395,0,0,0,2,3,3,4,8,10,11,18962
512,Polk County,GA,0,0,18,59,128,211,664,1216,1490,1736,0,0,0,0,1,1,6,15,18,28,42613
513,Pulaski County,GA,0,0,5,32,42,51,85,223,313,340,0,0,0,1,2,2,2,7,22,23,11137
514,Putnam County,GA,0,0,2,41,93,162,377,611,695,809,0,0,0,5,9,12,17,20,24,27,22119
515,Quitman County,GA,0,0,1,6,13,17,29,31,33,41,0,0,0,1,1,1,1,1,1,1,2299
516,Rabun County,GA,0,0,2,13,23,51,190,278,344,434,0,0,0,0,1,3,3,5,10,11,17137
