Areaname,LND110210D
"Franklin, KY",207.75
"Fulton, KY",205.5
"Gallatin, KY",101.23
"Garrard, KY",230.08
"Grant, KY",257.97
"Graves, KY",551.74
"Grayson, KY",496.7
"Green, KY",286.03
"Greenup, KY",344.4
"Hancock, KY",187.65
"Hardin, KY",623.28
"Harlan, KY",465.83
"Harrison, KY",306.36
"Hart, KY",412.09
"Henderson, KY",436.67
"Henry, KY",286.28
"Hickman, KY",242.27
"Hopkins, KY",542
"Jackson, KY",345.2
"Jefferson, KY",380.42
"Jessamine, KY",172.12
"Johnson, KY",261.95
"Kenton, KY",160.25
"Knott, KY",351.52
"Knox, KY",386.3
"Larue, KY",261.52
"Laurel, KY",433.95
"Lawrence, KY",415.6
"Lee, KY",208.86
"Leslie, KY",400.84
"Letcher, KY",337.91
"Lewis, KY",482.84
"Lincoln, KY",334.1
"Livingston, KY",313.13
"Logan, KY",552.13
"Lyon, KY",213.84
"McCracken, KY",248.74
"McCreary, KY",426.8
"McLean, KY",252.47
"Madison, KY",437.29
"Magoffin, KY",308.44
"Marion, KY",343.01
"Marshall, KY",301.25
"Martin, KY",229.61
"Mason, KY",240.13
"Meade, KY",305.42
"Menifee, KY",203.59
"Mercer, KY",248.8
"Metcalfe, KY",289.65
"Monroe, KY",329.37
"Montgomery, KY",197.37
"Morgan, KY",381.13
"Muhlenberg, KY",467.08
"Nelson, KY",417.51
"Nicholas, KY",195.17
"Ohio, KY",587.27
"Oldham, KY",187.22
"Owen, KY",351.1
"Owsley, KY",197.41
"Pendleton, KY",277.16
"Perry, KY",339.67
"Pike, KY",786.83
"Powell, KY",178.98
"Pulaski, KY",658.41
"Robertson, KY",99.91
"Rockcastle, KY",316.55
"Rowan, KY",279.8
"Russell, KY",253.66
"Scott, KY",281.77
"Shelby, KY",379.64
"Simpson, KY",234.2
"Spencer, KY",186.68
"Taylor, KY",266.33
"Todd, KY",374.5
"Trigg, KY",441.43
"Trimble, KY",151.65
"Union, KY",342.85
"Warren, KY",541.6
"Washington, KY",297.27
"Wayne, KY",458.17
"Webster, KY",331.94
"Whitley, KY",437.83
"Wolfe, KY",222.17
"Woodford, KY",188.78
LOUISIANA,43203.9
"Acadia, LA",655.12
"Allen, LA",761.85
"Ascension, LA",289.98
"Assumption, LA",338.66
"Avoyelles, LA",832.43
"Beauregard, LA",1157.34
"Bienville, LA",811.27
"Bossier, LA",840.06
"Caddo, LA",878.54
"Calcasieu, LA",1063.66
"Caldwell, LA",529.43
"Cameron, LA",1284.89
"Catahoula, LA",708.03
"Claiborne, LA",754.88
"Concordia, LA",696.92
"De Soto, LA",875.58
"East Baton Rouge, LA",455.37
"East Carroll, LA",420.7
"East Feliciana, LA",453.41
"Evangeline, LA",662.38
"Franklin, LA",624.59
"Grant, LA",643.03
"Iberia, LA",574.11
"Iberville, LA",618.63
"Jackson, LA",569.18
"Jefferson, LA",295.63
"Jefferson Davis, LA",651.33
"Lafayette, LA",268.72
"Lafourche, LA",1068.21
"La Salle, LA",624.68
"Lincoln, LA",471.74
"Livingston, LA",648.17
"Madison, LA",624.44
"Morehouse, LA",794.93
"Natchitoches, LA",1252.25
"Orleans, LA",169.42
"Ouachita, LA",610.41
"Plaquemines, LA",779.91
"Pointe Coupee, LA",557.35
"Rapides, LA",1317.96
"Red River, LA",389.09
"Richland, LA",559.04
"Sabine, LA",866.66
"St. Bernard, LA",377.52
"St. Charles, LA",279.08
"St. Helena, LA",408.4
"St. James, LA",241.54
"St. John the Baptist, LA",213.07
"St. Landry, LA",923.88
"St. Martin, LA",737.65
"St. Mary, LA",555.38
"St. Tammany, LA",845.55
"Tangipahoa, LA",791.28
"Tensas, LA",602.78
"Terrebonne, LA",1231.82
"Union, LA",876.99
"Vermilion, LA",1173.2
"Vernon, LA",1327.91
"Washington, LA",669.53
"Webster, LA",593.03
"West Baton Rouge, LA",192.39
"West Carroll, LA",359.65
"West Feliciana, LA",403.21
"Winn, LA",950.09
MAINE,30842.92
"Androscoggin, ME",467.93
"Aroostook, ME",6671.33
"Cumberland, ME",835.24
"Franklin, ME",1696.61
"Hancock, ME",1586.89
"Kennebec, ME",867.52
"Knox, ME",365.13
"Lincoln, ME",455.82
"Oxford, ME",2076.84
"Penobscot, ME",3397.36
"Piscataquis, ME",3960.86
"Sagadahoc, ME",253.7
"Somerset, ME",3924.4
"Waldo, ME",729.92
"Washington, ME",2562.66
"York, ME",990.71
MARYLAND,9707.24
"Allegany, MD",424.16
"Anne Arundel, MD",414.9
"Baltimore, MD",598.3
"Calvert, MD",213.15
"Caroline, MD",319.42
"Carroll, MD",447.6
"Cecil, MD",346.27
"Charles, MD",457.75
"Dorchester, MD",540.77
"Frederick, MD",660.22
"Garrett, MD",647.1
"Harford, MD",437.09
"Howard, MD",250.74
"Kent, MD",277.03
"Montgomery, MD",491.25
"Prince George's, MD",482.69
"Queen Anne's, MD",371.91
"St. Mary's, MD",357.18
"Somerset, MD",319.72
"Talbot, MD",268.54
"Washington, MD",457.78
"Wicomico, MD",374.44
"Worcester, MD",468.28
"Baltimore city, MD",80.94
MASSACHUSETTS,7800.06
"Barnstable, MA",393.72
"Berkshire, MA",926.83
"Bristol, MA",553.1
"Dukes, MA",103.25
"Essex, MA",492.56
"Franklin, MA",699.32
"Hampden, MA",617.14
"Hampshire, MA",527.26
"Middlesex, MA",817.82
"Nantucket, MA",44.97
"Norfolk, MA",396.11
"Plymouth, MA",659.08
"Suffolk, MA",58.15
"Worcester, MA",1510.77
MICHIGAN,56538.9
"Alcona, MI",674.59
"Alger, MI",915.07
"Allegan, MI",825.23
"Alpena, MI",571.86
"Antrim, MI",475.7
"Arenac, MI",363.19
"Baraga, MI",898.26
"Barry, MI",553.09
"Bay, MI",442.3
"Benzie, MI",319.7
"Berrien, MI",567.75
"Branch, MI",506.37
"Calhoun, MI",706.23
"Cass, MI",490.06
"Charlevoix, MI",416.34
"Cheboygan, MI",715.26
"Chippewa, MI",1558.42
"Clare, MI",564.32
"Clinton, MI",566.41
"Crawford, MI",556.28
"Delta, MI",1171.1
"Dickinson, MI",761.4
"Eaton, MI",575.18
"Emmet, MI",467.49
"Genesee, MI",636.98
"Gladwin, MI",501.78
"Gogebic, MI",1101.85
"Grand Traverse, MI",464.33
"Gratiot, MI",568.46
"Hillsdale, MI",598.13
"Houghton, MI",1009.1
"Huron, MI",835.71
"Ingham, MI",556.12
"Ionia, MI",571.3
"Iosco, MI",549.1
"Iron, MI",1166.15
"Isabella, MI",572.68
"Jackson, MI",701.67
"Kalamazoo, MI",561.66
"Kalkaska, MI",559.87
"Kent, MI",846.95
"Keweenaw, MI",540.11
"Lake, MI",567.37
"Lapeer, MI",643.01
"Leelanau, MI",347.17
"Lenawee, MI",749.56
"Livingston, MI",565.25
"Luce, MI",899.08
"Mackinac, MI",1021.57
"Macomb, MI",479.22
"Manistee, MI",542.15
"Marquette, MI",1808.4
"Mason, MI",495.07
"Mecosta, MI",555.07
"Menominee, MI",1044.08
"Midland, MI",516.25
"Missaukee, MI",564.73
"Monroe, MI",549.39
"Montcalm, MI",705.4
"Montmorency, MI",546.66
"Muskegon, MI",499.25
"Newaygo, MI",813.2
"Oakland, MI",867.66
"Oceana, MI",512.07
"Ogemaw, MI",563.49
"Ontonagon, MI",1311.23
"Osceola, MI",566.39
"Oscoda, MI",565.73
"Otsego, MI",514.97
"Ottawa, MI",563.47
"Presque Isle, MI",658.72
"Roscommon, MI",519.64
"Saginaw, MI",800.11
"St. Clair, MI",721.17
"St. Joseph, MI",500.59
"Sanilac, MI",962.57
"Schoolcraft, MI",1171.36
"Shiawassee, MI",530.67
"Tuscola, MI",803.13
"Van Buren, MI",607.47
"Washtenaw, MI",705.97
"Wayne, MI",612.08
"Wexford, MI",565
MINNESOTA,79626.74
"Aitkin, MN",1821.66
"Anoka, MN",423.01
"Becker, MN",1315.2
"Beltrami, MN",2504.94
"Benton, MN",408.3
"Big Stone, MN",499.02
"Blue Earth, MN",747.84
"Brown, MN",611.09
"Carlton, MN",861.38
"Carver, MN",354.33
"Cass, MN",2021.54
"Chippewa, MN",581.12
"Chisago, MN",414.86
"Clay, MN",1045.37
"Clearwater, MN",998.94
"Cook, MN",1452.28
"Cottonwood, MN",638.61
"Crow Wing, MN",999.1
"Dakota, MN",562.17
"Dodge, MN",439.28
"Douglas, MN",637.3
"Faribault, MN",712.48
"Fillmore, MN",861.3
"Freeborn, MN",707.09
"Goodhue, MN",756.84
"Grant, MN",548.16
"Hennepin, MN",553.59
"Houston, MN",552.06
"Hubbard, MN",925.68
"Isanti, MN",435.79
"Itasca, MN",2667.72
"Jackson, MN",702.98
"Kanabec, MN",521.59
"Kandiyohi, MN",796.79
"Kittson, MN",1098.8
"Koochiching, MN",3104.07
"Lac qui Parle, MN",765.02
"Lake, MN",2109.29
"Lake of the Woods, MN",1297.87
"Le Sueur, MN",448.76
"Lincoln, MN",536.76
"Lyon, MN",714.56
"McLeod, MN",491.47
"Mahnomen, MN",557.88
"Marshall, MN",1775.07
"Martin, MN",712.35
"Meeker, MN",608.18
"Mille Lacs, MN",572.31
"Morrison, MN",1125.06
"Mower, MN",711.33
"Murray, MN",704.7
"Nicollet, MN",448.49
"Nobles, MN",715.11
"Norman, MN",872.79
"Olmsted, MN",653.35
"Otter Tail, MN",1972.07
"Pennington, MN",616.57
"Pine, MN",1411.29
"Pipestone, MN",465.06
"Polk, MN",1971.13
"Pope, MN",669.71
"Ramsey, MN",152.21
"Red Lake, MN",432.41
"Redwood, MN",878.57
"Renville, MN",982.91
"Rice, MN",495.68
"Rock, MN",482.46
"Roseau, MN",1671.6
"St. Louis, MN",6247.4
"Scott, MN",356.48
"Sherburne, MN",432.92
"Sibley, MN",588.78
"Stearns, MN",1343.13
"Steele, MN",429.65
"Stevens, MN",563.6
"Swift, MN",742.08
"Todd, MN",944.98
"Traverse, MN",573.9
"Wabasha, MN",522.98
"Wadena, MN",536.27
"Waseca, MN",423.36
"Washington, MN",384.28
"Watonwan, MN",434.95
"Wilkin, MN",750.96
"Winona, MN",626.21
"Wright, MN",661.46
"Yellow Medicine, MN",759.1
MISSISSIPPI,46923.27
"Adams, MS",462.41
"Alcorn, MS",400.04
"Amite, MS",730.1
"Attala, MS",734.98
"Benton, MS",406.62
"Bolivar, MS",876.57
"Calhoun, MS",586.57
"Carroll, MS",628.24
"Chickasaw, MS",501.78
"Choctaw, MS",418.18
"Claiborne, MS",487.41
"Clarke, MS",691.55
"Clay, MS",410.08
"Coahoma, MS",552.44
"Copiah, MS",777.24
"Covington, MS",413.79
"DeSoto, MS",476.15
"Forrest, MS",466.31
"Franklin, MS",563.78
"George, MS",478.71
"Greene, MS",712.76
"Grenada, MS",422.11
"Hancock, MS",473.75
"Harrison, MS",573.99
"Hinds, MS",869.74
"Holmes, MS",756.7
"Humphreys, MS",418.49
"Issaquena, MS",413.05
"Itawamba, MS",532.79
"Jackson, MS",722.75
"Jasper, MS",676.24
"Jefferson, MS",519.93
"Jefferson Davis, MS",408.44
"Jones, MS",694.8
"Kemper, MS",766.18
"Lafayette, MS",631.71
"Lamar, MS",497.06
"Lauderdale, MS",703.63
"Lawrence, MS",430.67
"Leake, MS",583
"Lee, MS",449.95
"Leflore, MS",592.54
"Lincoln, MS",586.12
"Lowndes, MS",505.51
"Madison, MS",714.51
"Marion, MS",542.38
"Marshall, MS",706.19
"Monroe, MS",765.09
"Montgomery, MS",406.98
"Neshoba, MS",570.14
"Newton, MS",578.1
"Noxubee, MS",695.14
"Oktibbeha, MS",458.2
"Panola, MS",685.14
"Pearl River, MS",810.86
"Perry, MS",647.25
"Pike, MS",409.02
"Pontotoc, MS",497.69
"Prentiss, MS",414.98
"Quitman, MS",405.01
"Rankin, MS",775.49
"Scott, MS",609.19
"Sharkey, MS",431.72
"Simpson, MS",589.16
"Smith, MS",636.25
"Stone, MS",445.49
"Sunflower, MS",697.75
"Tallahatchie, MS",645.29
"Tate, MS",404.76
"Tippah, MS",457.82
"Tishomingo, MS",424.25
"Tunica, MS",454.67
"Union, MS",415.6
"Walthall, MS",403.94
"Warren, MS",588.5
"Washington, MS",724.74
"Wayne, MS",810.75
"Webster, MS",420.94
"Wilkinson, MS",678.11
"Winston, MS",607.25
"Yalobusha, MS",467.13
"Yazoo, MS",922.95
MISSOURI,68741.52
"Adair, MO",567.32
"Andrew, MO",432.7
"Atchison, MO",547.3
"Audrain, MO",692.24
"Barry, MO",778.25
"Barton, MO",591.92
"Bates, MO",836.69
"Benton, MO",704.06
"Bollinger, MO",617.91
"Boone, MO",685.41
"Buchanan, MO",408.03
"Butler, MO",694.67
"Caldwell, MO",426.39
"Callaway, MO",834.58
"Camden, MO",655.92
"Cape Girardeau, MO",578.54
"Carroll, MO",694.62
"Carter, MO",507.36
"Cass, MO",696.84
"Cedar, MO",474.48
"Chariton, MO",751.18
"Christian, MO",562.65
"Clark, MO",504.69
"Clay, MO",397.3
"Clinton, MO",418.96
"Cole, MO",393.75
"Cooper, MO",564.77
"Crawford, MO",742.52
"Dade, MO",490.01
"Dallas, MO",540.77
"Daviess, MO",563.24
"DeKalb, MO",421.36
"Dent, MO",752.79
"Douglas, MO",813.63
"Dunklin, MO",541.07
"Franklin, MO",922.68
"Gasconade, MO",517.8
"Gentry, MO",491.42
"Greene, MO",675.3
"Grundy, MO",435.28
"Harrison, MO",722.5
"Henry, MO",696.95
"Hickory, MO",399.09
"Holt, MO",462.69
"Howard, MO",463.85
"Howell, MO",927.25
"Iron, MO",550.26
"Jackson, MO",604.46
"Jasper, MO",638.49
"Jefferson, MO",656.63
"Johnson, MO",829.28
"Knox, MO",504.01
"Laclede, MO",764.72
"Lafayette, MO",628.43
"Lawrence, MO",611.74
"Lewis, MO",505.04
"Lincoln, MO",626.56
"Linn, MO",615.56
"Livingston, MO",532.33
"McDonald, MO",539.48
"Macon, MO",801.23
"Madison, MO",494.39
"Maries, MO",526.98
"Marion, MO",436.92
"Mercer, MO",453.84
"Miller, MO",592.6
"Mississippi, MO",411.58
"Moniteau, MO",415.03
"Monroe, MO",647.65
"Montgomery, MO",536.25
"Morgan, MO",597.63
"New Madrid, MO",674.84
"Newton, MO",624.77
"Nodaway, MO",876.96
"Oregon, MO",789.8
"Osage, MO",604.35
"Ozark, MO",744.97
"Pemiscot, MO",492.54
"Perry, MO",474.35
"Pettis, MO",682.22
"Phelps, MO",671.78
"Pike, MO",670.44
"Platte, MO",420.19
"Polk, MO",635.52
"Pulaski, MO",547.1
"Putnam, MO",517.32
"Ralls, MO",469.78
"Randolph, MO",482.68
"Ray, MO",568.81
"Reynolds, MO",808.48
"Ripley, MO",629.54
"St. Charles, MO",560.44
"St. Clair, MO",669.98
"Ste. Genevieve, MO",499.15
"St. Francois, MO",451.89
"St. Louis, MO",507.8
"Saline, MO",755.5
"Schuyler, MO",307.3
"Scotland, MO",436.67
"Scott, MO",419.99
"Shannon, MO",1003.82
"Shelby, MO",500.86
"Stoddard, MO",823.22
"Stone, MO",464.03
"Sullivan, MO",647.98
"Taney, MO",632.44
"Texas, MO",1177.27
"Vernon, MO",826.4
"Warren, MO",428.6
"Washington, MO",759.91
"Wayne, MO",759.18
"Webster, MO",592.56
"Worth, MO",266.61
"Wright, MO",681.77
"St. Louis city, MO",61.91
MONTANA,145545.8
"Beaverhead, MT",5541.62
"Big Horn, MT",4995.46
"Blaine, MT",4227.55
"Broadwater, MT",1192.54
"Carbon, MT",2048.79
"Carter, MT",3340.75
"Cascade, MT",2698.16
"Chouteau, MT",3972.49
"Custer, MT",3783.36
"Daniels, MT",1426.11
"Dawson, MT",2371.87
"Deer Lodge, MT",736.53
"Fallon, MT",1620.77
"Fergus, MT",4339.8
"Flathead, MT",5087.66
"Gallatin, MT",2602.69
"Garfield, MT",4675.36
"Glacier, MT",2995.94
"Golden Valley, MT",1175.34
"Granite, MT",1727.42
"Hill, MT",2898.96
"Jefferson, MT",1656.26
"Judith Basin, MT",1869.82
"Lake, MT",1490.15
"Lewis and Clark, MT",3458.83
"Liberty, MT",1430.05
"Lincoln, MT",3612.92
"McCone, MT",2643.17
"Madison, MT",3587.48
"Meagher, MT",2391.91
"Mineral, MT",1219.44
"Missoula, MT",2593.42
"Musselshell, MT",1868.16
"Park, MT",2803.06
"Petroleum, MT",1654.87
"Phillips, MT",5140.04
"Pondera, MT",1622.86
"Powder River, MT",3297.3
"Powell, MT",2326.39
"Prairie, MT",1736.74
"Ravalli, MT",2390.82
"Richland, MT",2084.14
"Roosevelt, MT",2354.79
"Rosebud, MT",5010.4
"Sanders, MT",2760.52
"Sheridan, MT",1677.08
"Silver Bow, MT",718.48
"Stillwater, MT",1795.35
"Sweet Grass, MT",1855.21
"Teton, MT",2272.38
"Toole, MT",1915.65
"Treasure, MT",977.4
"Valley, MT",4925.82
"Wheatland, MT",1423.2
"Wibaux, MT",889.27
"Yellowstone, MT",2633.29
"Yellowstone National Park, MT",0
NEBRASKA,76824.17
"Adams, NE",563.27
"Antelope, NE",857.22
"Arthur, NE",715.36
"Banner, NE",746.11
"Blaine, NE",710.87
"Boone, NE",686.55
"Box Butte, NE",1075.29
"Boyd, NE",539.94
"Brown, NE",1221.33
"Buffalo, NE",968.11
"Burt, NE",491.58
"Butler, NE",584.91
"Cass, NE",557.45
"Cedar, NE",740.31
"Chase, NE",894.42
"Cherry, NE",5960.42
"Cheyenne, NE",1196.29
"Clay, NE",572.29
"Colfax, NE",411.66
"Cuming, NE",570.62
"Custer, NE",2575.52
"Dakota, NE",264.26
"Dawes, NE",1396.46
"Dawson, NE",1013.1
"Deuel, NE",439.85
"Dixon, NE",476.23
"Dodge, NE",528.71
"Douglas, NE",328.46
"Dundy, NE",919.68
"Fillmore, NE",575.37
"Franklin, NE",575.82
"Frontier, NE",974.59
"Furnas, NE",719.13
"Gage, NE",851.49
"Garden, NE",1704.28
"Garfield, NE",569.79
"Gosper, NE",458.16
"Grant, NE",776.22
"Greeley, NE",569.81
"Hall, NE",546.29
"Hamilton, NE",542.88
"Harlan, NE",553.47
"Hayes, NE",713.06
"Hitchcock, NE",709.94
"Holt, NE",2412.4
"Hooker, NE",721.12
"Howard, NE",569.34
"Jefferson, NE",570.19
"Johnson, NE",376.05
"Kearney, NE",516.24
"Keith, NE",1061.6
"Keya Paha, NE",773.07
"Kimball, NE",951.85
"Knox, NE",1108.35
"Lancaster, NE",837.55
"Lincoln, NE",2564.07
"Logan, NE",570.66
"Loup, NE",568.29
"McPherson, NE",858.98
"Madison, NE",572.74
"Merrick, NE",484.88
"Morrill, NE",1423.84
"Nance, NE",441.63
"Nemaha, NE",407.38
"Nuckolls, NE",575.16
"Otoe, NE",615.63
"Pawnee, NE",431.08
"Perkins, NE",883.34
"Phelps, NE",539.79
"Pierce, NE",573.25
"Platte, NE",674.06
"Polk, NE",438.35
"Red Willow, NE",716.99
"Richardson, NE",551.84
"Rock, NE",1008.32
"Saline, NE",574.02
"Sarpy, NE",238.99
"Saunders, NE",750.23
"Scotts Bluff, NE",739.4
"Seward, NE",571.43
"Sheridan, NE",2440.86
"Sherman, NE",565.83
"Sioux, NE",2066.74
"Stanton, NE",427.95
"Thayer, NE",573.81
"Thomas, NE",713.24
"Thurston, NE",393.58
"Valley, NE",568.05
"Washington, NE",389.96
"Wayne, NE",442.92
"Webster, NE",574.91
"Wheeler, NE",575.18
"York, NE",572.51
NEVADA,109781.18
"Churchill, NV",4930.46
"Clark, NV",7891.43
"Douglas, NV",709.72
"Elko, NV",17169.83
"Esmeralda, NV",3581.88
"Eureka, NV",4175.68
"Humboldt, NV",9640.76
"Lander, NV",5490.11
"Lincoln, NV",10633.2
"Lyon, NV",2001.19
"Mineral, NV",3752.84
"Nye, NV",18181.92
"Pershing, NV",6036.56
"Storey, NV",262.92
"Washoe, NV",6302.37
"White Pine, NV",8875.65
"Carson City city, NV",144.66
NEW HAMPSHIRE,8952.65
"Belknap, NH",400.23
"Carroll, NH",931.06
"Cheshire, NH",706.66
"Coos, NH",1794.69
"Grafton, NH",1708.75
"Hillsborough, NH",876.14
"Merrimack, NH",934.12
"Rockingham, NH",694.72
"Strafford, NH",368.98
"Sullivan, NH",537.31
NEW JERSEY,7354.22
"Atlantic, NJ",555.7
"Bergen, NJ",233.01
"Burlington, NJ",798.58
"Camden, NJ",221.26
"Cape May, NJ",251.43
"Cumberland, NJ",483.7
"Essex, NJ",126.21
"Gloucester, NJ",322.01
"Hudson, NJ",46.19
"Hunterdon, NJ",427.82
"Mercer, NJ",224.56
"Middlesex, NJ",308.91
"Monmouth, NJ",468.79
"Morris, NJ",460.18
"Ocean, NJ",628.78
"Passaic, NJ",184.59
"Salem, NJ",331.9
"Somerset, NJ",301.81
"Sussex, NJ",519.01
"Union, NJ",102.86
"Warren, NJ",356.92
NEW MEXICO,121298.15
"Bernalillo, NM",1160.83
"Catron, NM",6923.69
"Chaves, NM",6065.28
"Cibola, NM",4539.48
"Colfax, NM",3758.06
"Curry, NM",1404.8
"De Baca, NM",2322.62
"Dona Ana, NM",3807.51
"Eddy, NM",4175.73
"Grant, NM",3961.63
"Guadalupe, NM",3030.48
"Harding, NM",2125.44
"Hidalgo, NM",3436.86
"Lea, NM",4390.93
"Lincoln, NM",4831.09
"Los Alamos, NM",109.17
"Luna, NM",2965.19
"McKinley, NM",5449.81
"Mora, NM",1931.27
"Otero, NM",6613.21
"Quay, NM",2874.35
"Rio Arriba, NM",5860.84
"Roosevelt, NM",2447.43
"Sandoval, NM",3710.65
"San Juan, NM",5513.07
"San Miguel, NM",4715.82
"Santa Fe, NM",1909.41
"Sierra, NM",4178.96
"Socorro, NM",6646.68
"Taos, NM",2203.11
"Torrance, NM",3344.85
"Union, NM",3823.74
"Valencia, NM",1066.18
NEW YORK,47126.4
"Albany, NY",522.8
"Allegany, NY",1029.31
"Bronx, NY",42.1
"Broome, NY",705.77
"Cattaraugus, NY",1308.35
"Cayuga, NY",691.58
"Chautauqua, NY",1060.23
"Chemung, NY",407.35
"Chenango, NY",893.55
"Clinton, NY",1037.85
"Columbia, NY",634.71
"Cortland, NY",498.76
"Delaware, NY",1442.44
"Dutchess, NY",795.63
"Erie, NY",1042.69
"Essex, NY",1794.23
"Franklin, NY",1629.12
"Fulton, NY",495.47
"Genesee, NY",492.94
"Greene, NY",647.16
"Hamilton, NY",1717.37
"Herkimer, NY",1411.47
"Jefferson, NY",1268.59
"Kings, NY",70.82
"Lewis, NY",1274.68
"Livingston, NY",631.76
"Madison, NY",654.84
"Monroe, NY",657.21
"Montgomery, NY",403.04
"Nassau, NY",284.72
"New York, NY",22.83
"Niagara, NY",522.36
"Oneida, NY",1212.43
"Onondaga, NY",778.39
"Ontario, NY",644.07
"Orange, NY",811.69
"Orleans, NY",391.26
"Oswego, NY",951.65
"Otsego, NY",1001.7
"Putnam, NY",230.31
"Queens, NY",108.53
"Rensselaer, NY",652.43
"Richmond, NY",58.37
"Rockland, NY",173.55
"St. Lawrence, NY",2680.38
"Saratoga, NY",809.98
"Schenectady, NY",204.52
"Schoharie, NY",621.82
"Schuyler, NY",328.33
"Seneca, NY",323.71
"Steuben, NY",1390.56
"Suffolk, NY",912.05
"Sullivan, NY",968.13
"Tioga, NY",518.6
"Tompkins, NY",474.65
"Ulster, NY",1124.24
"Warren, NY",866.95
"Washington, NY",831.18
"Wayne, NY",603.83
"Westchester, NY",430.5
"Wyoming, NY",592.75
"Yates, NY",338.14
NORTH CAROLINA,48617.91
"Alamance, NC",423.94
"Alexander, NC",259.99
"Alleghany, NC",235.06
"Anson, NC",531.45
"Ashe, NC",426.14
"Avery, NC",247.09
"Beaufort, NC",827.19
"Bertie, NC",699.27
"Bladen, NC",874.33
"Brunswick, NC",846.97
"Buncombe, NC",656.67
"Burke, NC",507.1
"Cabarrus, NC",361.75
"Caldwell, NC",471.57
"Camden, NC",240.56
"Carteret, NC",506.25
"Caswell, NC",424.92
"Catawba, NC",398.72
"Chatham, NC",682.19
"Cherokee, NC",455.43
"Chowan, NC",172.47
"Clay, NC",214.75
"Cleveland, NC",464.25
"Columbus, NC",937.29
"Craven, NC",708.96
"Cumberland, NC",652.32
"Currituck, NC",261.85
"Dare, NC",383.42
"Davidson, NC",552.68
"Davie, NC",264.11
"Duplin, NC",816.22
"Durham, NC",285.98
"Edgecombe, NC",505.34
"Forsyth, NC",408.15
"Franklin, NC",491.68
"Gaston, NC",356.03
"Gates, NC",340.45
"Graham, NC",292.08
"Granville, NC",531.57
"Greene, NC",265.93
"Guilford, NC",645.7
"Halifax, NC",724.09
"Harnett, NC",594.99
"Haywood, NC",553.69
"Henderson, NC",373.07
"Hertford, NC",353.06
"Hoke, NC",390.74
"Hyde, NC",612.7
"Iredell, NC",573.83
"Jackson, NC",490.76
"Johnston, NC",791.3
"Jones, NC",470.71
"Lee, NC",254.96
"Lenoir, NC",400.59
"Lincoln, NC",297.94
"McDowell, NC",440.61
"Macon, NC",515.56
"Madison, NC",449.57
"Martin, NC",461.22
"Mecklenburg, NC",523.84
"Mitchell, NC",221.43
"Montgomery, NC",491.76
"Moore, NC",697.84
"Nash, NC",540.41
"New Hanover, NC",191.53
"Northampton, NC",536.59
"Onslow, NC",762.74
"Orange, NC",397.96
"Pamlico, NC",336.54
"Pasquotank, NC",226.88
"Pender, NC",869.8
"Perquimans, NC",247.09
"Person, NC",392.32
"Pitt, NC",651.98
"Polk, NC",237.79
"Randolph, NC",782.52
"Richmond, NC",473.82
"Robeson, NC",949.22
"Rockingham, NC",565.55
"Rowan, NC",511.37
"Rutherford, NC",564.15
"Sampson, NC",944.74
"Scotland, NC",318.85
"Stanly, NC",395.09
"Stokes, NC",448.86
"Surry, NC",532.17
"Swain, NC",528
"Transylvania, NC",378.53
"Tyrrell, NC",389.04
"Union, NC",631.52
"Vance, NC",253.52
"Wake, NC",835.22
"Warren, NC",428.46
"Washington, NC",348.14
"Watauga, NC",312.56
"Wayne, NC",553.09
"Wilkes, NC",754.28
"Wilson, NC",368.17
"Yadkin, NC",334.83
"Yancey, NC",312.6
NORTH DAKOTA,69000.8
"Adams, ND",987.62
"Barnes, ND",1491.55
"Benson, ND",1388.71
"Billings, ND",1148.85
"Bottineau, ND",1668.42
"Bowman, ND",1161.81
"Burke, ND",1103.57
"Burleigh, ND",1632.65
"Cass, ND",1764.94
"Cavalier, ND",1488.75
"Dickey, ND",1131.47
"Divide, ND",1260.79
"Dunn, ND",2008.46
"Eddy, ND",630.17
"Emmons, ND",1510.44
"Foster, ND",635.45
"Golden Valley, ND",1000.79
"Grand Forks, ND",1436.38
"Grant, ND",1659.14
"Griggs, ND",708.82
"Hettinger, ND",1132.22
"Kidder, ND",1351.19
"LaMoure, ND",1145.94
"Logan, ND",992.82
"McHenry, ND",1873.95
"McIntosh, ND",974.73
"McKenzie, ND",2760.32
"McLean, ND",2110.88
"Mercer, ND",1042.96
"Morton, ND",1926.27
"Mountrail, ND",1825.3
"Nelson, ND",981.78
"Oliver, ND",722.51
"Pembina, ND",1118.69
"Pierce, ND",1018.6
"Ramsey, ND",1186.85
"Ransom, ND",862.36
"Renville, ND",877.05
"Richland, ND",1435.78
"Rolette, ND",903.08
"Sargent, ND",858.51
"Sheridan, ND",972.38
"Sioux, ND",1094.09
"Slope, ND",1214.92
"Stark, ND",1334.74
"Steele, ND",712.22
"Stutsman, ND",2221.72
"Towner, ND",1024.56
"Traill, ND",861.95
"Walsh, ND",1281.93
"Ward, ND",2013.28
"Wells, ND",1271.05
"Williams, ND",2077.4
OHIO,40860.69
"Adams, OH",583.87
"Allen, OH",402.5
"Ashland, OH",422.95
"Ashtabula, OH",701.93
"Athens, OH",503.6
"Auglaize, OH",401.39
"Belmont, OH",532.13
"Brown, OH",490.02
"Butler, OH",467.06
"Carroll, OH",394.61
"Champaign, OH",428.67
